V,E,Density,Array_Time,Heap_Time
100,487,0.1,0.0005665898323059082,8.043289184570313e-05
100,1498,0.3,0.0006232643127441406,0.000157163143157959
100,2455,0.5,0.000691227912902832,0.00021316766738891602
100,3445,0.7,0.0006780338287353516,0.00025573015213012693
100,4451,0.9,0.0006673860549926757,0.0003037428855895996
200,1974,0.1,0.0020198440551757813,0.0002469730377197266
200,6047,0.3,0.00227569580078125,0.000499887466430664
200,9952,0.5,0.0024840593338012694,0.0007237529754638672
200,13897,0.7,0.002571055889129639,0.0009348034858703613
200,17907,0.9,0.0025815415382385255,0.0011805987358093262
500,12417,0.1,0.014451744556427002,0.0012641549110412598
500,37482,0.3,0.015987205505371093,0.0027164602279663086
500,62467,0.5,0.01715879201889038,0.0042318224906921385
500,87329,0.7,0.017679946422576906,0.005877063274383545
500,112165,0.9,0.01803614616394043,0.007995097637176514
1000,49999,0.1,0.06081156730651856,0.004876315593719482
1000,149769,0.3,0.06773796081542968,0.01613234281539917
1000,250004,0.5,0.07218785285949707,0.03187161684036255
1000,349701,0.7,0.07501492500305176,0.061810100078582765
1000,449623,0.9,0.0797690749168396,0.07116363048553467
2000,200671,0.1,0.2545975923538208,0.033278918266296385
2000,599905,0.3,0.28019102811813357,0.10053372383117676
2000,1001112,0.5,0.3009121298789978,0.17968870401382447
2000,1399702,0.7,0.302491283416748,0.23700056076049805
2000,1799055,0.9,0.3054561972618103,0.30574809312820433
5000,1250543,0.1,1.610551929473877,0.2358710289001465
5000,3749712,0.3,1.754796314239502,0.7742513656616211
5000,6249396,0.5,2.0212466716766357,1.2704998016357423
5000,8749422,0.7,2.086161994934082,1.6236859798431396
5000,11247210,0.9,2.1155935764312743,2.1696622371673584
10000,5001992,0.1,6.795467662811279,1.1277668476104736
10000,14994951,0.3,7.2758180618286135,3.2245600700378416
10000,24998116,0.5,7.8673093795776365,5.447882843017578
10000,34996293,0.7,8.063342094421387,8.031468105316161
10000,44992611,0.9,8.239980983734132,10.204742527008056
